lat,lon
25.6864517,-100.2740004
25.7433695,-100.3545982
25.6258249,-100.2719567
25.637,-100.2874136
25.6288783,-100.2714117
25.7444161,-100.3486663
25.7718337,-100.4039703
25.8003649,-100.4111165
25.696356,-100.358475
25.6492493,-100.3028621
25.7841155,-100.4097665
25.754655,-100.3825645
25.7108338,-100.3781037
25.62975005,-100.3375475
25.781107,-100.4091009
25.7697284,-100.3991033
25.6470789,-100.2856387
25.66469765,-100.3108902
25.701319,-100.2986849
25.7253612,-100.3590942
25.73512611,-100.3789527
25.81789161,-100.5373418
25.7439184,-100.3809002
25.4244892,-100.1546665
25.7825705,-100.3933608
25.68300869,-100.2886495
25.7414702,-100.3394887
25.6942275,-100.3041811
25.696613,-100.2903169
25.6715704,-100.3660389
25.6558923,-100.3022032
25.75241795,-100.3635953
25.73359025,-100.3784007
25.7913744,-100.4649524
25.652776,-100.310955
25.7815921,-100.3799292
25.7350516,-100.3346422
25.683505,-100.325643
25.61990735,-100.2694251
25.7548092,-100.4059584
25.633564,-100.296252
25.74361,-100.3632029
25.7789129,-100.4016331
25.7510253,-100.4071541
25.71593581,-100.3882964
25.686243,-100.3758419
25.78464533,-100.3730158
25.69127837,-100.2957118
25.7716355,-100.4008339
25.73084087,-100.3566054
25.7408469,-100.3247685
25.644348,-100.292873
25.7139639,-100.3443278
25.7153133,-100.2042023
25.724188,-100.361529
25.719713,-100.359279
25.78480795,-100.3726424
25.7884741,-100.3780729
25.7393327,-100.4069914
25.65960154,-100.2999589
25.7217185,-100.3606302
25.7168628,-100.3646997
25.756877,-100.357923
25.7697771,-100.4048096
25.70027549,-100.2650034
25.7253197,-100.3415703
25.6995651,-100.3316955
25.66795898,-100.3138928
25.673073,-100.374588
25.6873225,-100.281862
25.700079,-100.351473
25.79224265,-100.5194594
25.7573046,-100.3731793
25.7506608,-100.4079931
25.7567059,-100.3848219
25.70245289,-100.3503568
25.4126418,-100.1404265
25.6983067,-100.3160582
25.7167437,-100.3870529
25.75824,-100.371856
25.762267,-100.358389
25.7216106,-100.3447384
25.65937669,-100.3296811
25.7832654,-100.3906808
25.67833,-100.347918
25.7016098,-100.3436834
25.6883384,-100.3039335
25.6397878,-100.2727954
25.6999311,-100.2852434
25.7828,-100.4867
25.66753291,-100.3009657
25.685651,-100.331189
25.7004509,-100.2663793
25.64659995,-100.2941538
25.388764,-100.122525
25.61917865,-100.2614853
25.7640337,-100.4243656
25.74577555,-100.3434052
25.6566486,-100.2990193
25.799728,-100.412459
25.6366246,-100.3158002
25.6903769,-100.3451941
25.7918723,-100.3774245
25.7356385,-100.3547566
25.784167,-100.4015479
25.6524329,-100.2771099
25.6934131,-100.3467124
25.7136655,-100.3786145
25.73921718,-100.4099828
25.6612033,-100.2820136
25.634103,-100.295714
25.7840615,-100.414969
25.77584401,-100.3629403
25.421378,-100.1567649
25.73248435,-100.3766565
25.7060825,-100.3472109
25.6706464,-100.3745785
25.7381144,-100.2858331
25.6409517,-100.3042746
25.7466837,-100.401605
25.796964,-100.4119085
25.6773026,-100.3001199
25.7084461,-100.3211162
25.69922403,-100.2779184
25.7129734,-100.3416564
25.61921905,-100.274616
25.68049908,-100.3309167
25.763761,-100.408254
25.665025,-100.2843719
25.7305634,-100.3486915
25.662577,-100.320086
25.62883713,-100.2718558
25.725793,-100.3843201
25.73279646,-100.3387529
25.7461751,-100.3707675
25.72223,-100.361453
25.7387134,-100.3332963
25.693235,-100.3041349
25.7931675,-100.2307285
25.7392832,-100.284309
25.81028416,-100.2176246
25.7375605,-100.2610573
25.74187365,-100.238904
25.7556961,-100.3017892
25.73812,-100.314929
25.7317499,-100.2308691
25.7502989,-100.2412288
25.66603453,-100.3113146
25.7871378,-100.2394638
25.7708704,-100.3952176
25.7506719,-100.2478897
25.7259895,-100.2713385
25.64125255,-100.3247348
25.7378808,-100.2610134
25.7411859,-100.2720323
25.7222678,-100.2645493
25.59541572,-100.2557858
